P.O.D.+-+Sleeping+Awake
Alice+in+Chains+-+Got+me+Wrong
Stone+Temple+Pilots+-+Interstate+Love+Song
Audioslave+-+Like+a+Stone
Rage+Against+the+Machine+-+Guerrilla+Radio
Nirvana+-+Come+as+You+Are
Pearl+Jam+-+Elderly+Woman+Behind+the+Counter+in+a+Small+Town
Queens+of+the+Stone+Age+-+No+One+Knows
Foo+Fighters+-+Everlong
Eagles+of+Death+Metal+-+Miss+Alissa
